Index,Type,Group,Day,Time,Venue,Remark
 10263,Lec/Studio,CS3,Mon,0930-1030,ONLINE,
,Lec/Studio,CS3,Fri,1430-1530,ONLINE,
,Tut,SSA1,Fri,1530-1630,TR+15, Teaching Wk2-13
,Lab,SSA1,Wed,1430-1630,HWLAB1," Teaching Wk2,4,6,8,10,12"
 10264,Lec/Studio,CS3,Mon,0930-1030,ONLINE,
,Lec/Studio,CS3,Fri,1430-1530,ONLINE,
,Tut,SSA2,Fri,1030-1130,TR+17, Teaching Wk2-13
,Lab,SSA2,Wed,1430-1630,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10265,Lec/Studio,CS3,Mon,0930-1030,ONLINE,
,Lec/Studio,CS3,Fri,1430-1530,ONLINE,
,Tut,SSR1,Tue,1330-1430,TR+9, Teaching Wk2-13
,Lab,SSR1,Thu,1430-1630,HWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10266,Lec/Studio,CS3,Mon,0930-1030,ONLINE,
,Lec/Studio,CS3,Fri,1430-1530,ONLINE,
,Tut,SSR2,Fri,1630-1730,TR+15, Teaching Wk2-13
,Lab,SSR2,Thu,1430-1630,HWLAB3," Teaching Wk2,4,6,8,10,12"
 10267,Lec/Studio,CS3,Mon,0930-1030,ONLINE,
,Lec/Studio,CS3,Fri,1430-1530,ONLINE,
,Tut,SSA3,Mon,1230-1330,TR+18, Teaching Wk2-13
,Lab,SSR2,Thu,1430-1630,HWLAB3," Teaching Wk2,4,6,8,10,12"
 10433,Lec/Studio,CS3,Mon,0930-1030,ONLINE,
,Lec/Studio,CS3,Fri,1430-1530,ONLINE,
,Tut,SSA3,Mon,1230-1330,TR+18, Teaching Wk2-13
,Lab,SSA1,Wed,1430-1630,HWLAB1," Teaching Wk2,4,6,8,10,12"
 10434,Lec/Studio,CS3,Mon,0930-1030,ONLINE,
,Lec/Studio,CS3,Fri,1430-1530,ONLINE,
,Tut,SSA3,Mon,1230-1330,TR+18, Teaching Wk2-13
,Lab,SSA2,Wed,1430-1630,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 13833,Lec/Studio,CS3,Mon,0930-1030,ONLINE,
,Lec/Studio,CS3,Fri,1430-1530,ONLINE,
,Tut,BCG3,Tue,0930-1030,TR+16, Teaching Wk2-13
,Lab,BCG3,Fri,1030-1230,HWLAB3," Teaching Wk2,4,6,8,10,12"
