Index,Type,Group,Day,Time,Venue,Remark
 10229,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SS1,Tue,0830-0930,TR+15, Teaching Wk2-13
,Lab,SS1,Mon,1030-1230,SWLAB1," Teaching Wk2,4,6,8,10,12"
 10230,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SS2,Mon,1030-1130,TR+17, Teaching Wk2-13
,Lab,SS2,Mon,0830-1030,SWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10231,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SS3,Tue,1330-1430,TR+19, Teaching Wk2-13
,Lab,SS3,Thu,1430-1630,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10232,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SS4,Tue,1430-1530,TR+19, Teaching Wk2-13
,Lab,SS4,Fri,1230-1430,SWLAB1," Teaching Wk2,4,6,8,10,12"
 10233,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SS6,Fri,0830-0930,LHN-TR+18, Teaching Wk2-13
,Lab,SS6,Fri,1230-1430,SWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10234,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SS7,Mon,1030-1130,TR+31, Teaching Wk2-13
,Lab,SS7,Thu,1430-1630,SWLAB3," Teaching Wk2,4,6,8,10,12"
 10235,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SS8,Mon,1530-1630,TR+33, Teaching Wk2-13
,Lab,SS8,Fri,1230-1430,SPL," Teaching Wk2,4,6,8,10,12"
 10236,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SS9,Tue,1330-1430,TR+17, Teaching Wk2-13
,Lab,SS9,Mon,1430-1630,SWLAB3," Teaching Wk2,4,6,8,10,12"
 10237,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SSP1,Mon,1430-1530,TR+17, Teaching Wk2-13
,Lab,SSP1,Wed,1030-1230,SPL," Teaching Wk2,4,6,8,10,12"
 10238,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SSP2,Thu,1430-1530,TR+18, Teaching Wk2-13
,Lab,SSP2,Wed,1030-1230,SPL," Teaching Wk1,3,5,7,9,11,13"
 10239,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SSP3,Mon,1630-1730,TR+17, Teaching Wk2-13
,Lab,SSP3,Tue,1230-1430,SWLAB1," Teaching Wk2,4,6,8,10,12"
 10240,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SSP4,Fri,1330-1430,TR+15, Teaching Wk2-13
,Lab,SSP4,Tue,1230-1430,SWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10241,Lec/Studio,CS2,Thu,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1030-1130,ONLINE,
,Tut,SSP5,Mon,1130-1230,TR+17, Teaching Wk2-13
,Lab,SSP5,Mon,1430-1630,SWLAB1," Teaching Wk1,3,5,7,9,11,13"
