Index,Type,Group,Day,Time,Venue,Remark
,Tut,SS4,Mon,1030-1130,TRX44, Teaching Wk2-13
,Lab,SS9,Mon,1430-1630,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10475,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SS6,Mon,1130-1230,TR+16, Teaching Wk2-13
,Lab,SS9,Mon,1430-1630,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10476,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SSP5,Fri,1330-1430,LHN-TR+18, Teaching Wk2-13
,Lab,SS9,Mon,1430-1630,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10477,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SSP6,Tue,0830-0930,LHN-TR+17, Teaching Wk2-13
,Lab,SS9,Mon,1430-1630,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
