Index,Type,Group,Day,Time,Venue,Remark
 10242,Lec/Studio,CS2,Mon,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1330-1430,ONLINE,
,Tut,SSP1,Fri,1630-1730,TR+17, Teaching Wk2-13
,Lab,SSP1,Wed,1030-1230,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10243,Lec/Studio,CS2,Mon,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1330-1430,ONLINE,
,Tut,SSP2,Thu,0830-0930,TR+9, Teaching Wk2-13
,Lab,SSP2,Wed,0830-1030,SWLAB3," Teaching Wk2,4,6,8,10,12"
 10244,Lec/Studio,CS2,Mon,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1330-1430,ONLINE,
,Tut,SSP3,Fri,1330-1430,TR+37, Teaching Wk2-13
,Lab,SSP3,Tue,1230-1430,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10245,Lec/Studio,CS2,Mon,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1330-1430,ONLINE,
,Tut,SSP4,Tue,1430-1530,TR+15, Teaching Wk2-13
,Lab,SSP4,Wed,1030-1230,SWLAB3," Teaching Wk2,4,6,8,10,12"
 10246,Lec/Studio,CS2,Mon,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1330-1430,ONLINE,
,Tut,SSP5,Mon,1030-1130,TR+33, Teaching Wk2-13
,Lab,SSP5,Wed,1430-1630,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10247,Lec/Studio,CS2,Mon,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1330-1430,ONLINE,
,Tut,SSP6,Thu,1130-1230,LHN-TR+13, Teaching Wk2-13
,Lab,SSP6,Fri,1030-1230,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10248,Lec/Studio,CS2,Mon,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1330-1430,ONLINE,
,Tut,SSP7,Fri,1630-1730,TR+16, Teaching Wk2-13
,Lab,SSP7,Tue,1230-1430,SWLAB3," Teaching Wk2,4,6,8,10,12"
 10249,Lec/Studio,CS2,Mon,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1330-1430,ONLINE,
,Tut,SSP8,Thu,0830-0930,TR+15, Teaching Wk2-13
,Lab,SSP8,Wed,0830-1030,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10324,Lec/Studio,CS2,Mon,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1330-1430,ONLINE,
,Tut,SSP9,Mon,1030-1130,TR+15, Teaching Wk2-13
,Lab,SSP9,Wed,1430-1630,SWLAB3," Teaching Wk2,4,6,8,10,12"
 10325,Lec/Studio,CS2,Mon,0930-1030,ONLINE,
,Lec/Studio,CS2,Thu,1330-1430,ONLINE,
,Tut,SSP10,Wed,1230-1330,TR+15, Teaching Wk2-13
,Lab,SSP10,Tue,1230-1430,SWLAB3," Teaching Wk2,4,6,8,10,12"
