Index,Type,Group,Day,Time,Venue,Remark
 10210,Lec/Studio,CS2,Fri,1430-1530,ONLINE,
,Lec/Studio,CS2,Tue,1530-1630,ONLINE,
,Tut,SSR1,Tue,1430-1530,TR+18, Teaching Wk2-13
,Lab,SSR1,Thu,1030-1230,SWLAB2," Teaching Wk2,4,6,8,10,12"
 10211,Lec/Studio,CS2,Fri,1430-1530,ONLINE,
,Lec/Studio,CS2,Tue,1530-1630,ONLINE,
,Tut,SSR2,Mon,0830-0930,TR+15, Teaching Wk2-13
,Lab,SSR2,Mon,1430-1630,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10212,Lec/Studio,CS2,Fri,1430-1530,ONLINE,
,Lec/Studio,CS2,Tue,1530-1630,ONLINE,
,Tut,SSR3,Fri,0830-0930,TR+9, Teaching Wk2-13
,Lab,SSR3,Thu,0830-1030,SWLAB2," Teaching Wk2,4,6,8,10,12"
 10213,Lec/Studio,CS2,Fri,1430-1530,ONLINE,
,Lec/Studio,CS2,Tue,1530-1630,ONLINE,
,Tut,SSR4,Wed,1130-1230,LHN-TR+32, Teaching Wk2-13
,Lab,SSR4,Thu,0830-1030,SWLAB2," Teaching Wk1,3,5,7,9,11,13"
 10214,Lec/Studio,CS2,Fri,1430-1530,ONLINE,
,Lec/Studio,CS2,Tue,1530-1630,ONLINE,
,Tut,SSR5,Wed,0830-0930,TR+15, Teaching Wk2-13
,Lab,SSR5,Wed,1030-1230,SWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10215,Lec/Studio,CS2,Fri,1430-1530,ONLINE,
,Lec/Studio,CS2,Tue,1530-1630,ONLINE,
,Tut,SSR6,Tue,1030-1130,LHN-TR+32, Teaching Wk2-13
,Lab,SSR6,Thu,1030-1230,SWLAB2," Teaching Wk1,3,5,7,9,11,13"
 10216,Lec/Studio,CS2,Fri,1430-1530,ONLINE,
,Lec/Studio,CS2,Tue,1530-1630,ONLINE,
,Tut,SSR7,Tue,1130-1230,LHN-TR+32, Teaching Wk2-13
,Lab,SSR7,Mon,1430-1630,SWLAB3," Teaching Wk2,4,6,8,10,12"
 10464,Lec/Studio,CS2,Fri,1430-1530,ONLINE,
,Lec/Studio,CS2,Tue,1530-1630,ONLINE,
,Tut,SSR8,Wed,0830-0930,TR+9, Teaching Wk2-13
,Lab,SSR1,Thu,1030-1230,SWLAB2," Teaching Wk2,4,6,8,10,12"
 10465,Lec/Studio,CS2,Fri,1430-1530,ONLINE,
,Lec/Studio,CS2,Tue,1530-1630,ONLINE,
,Tut,SSR8,Wed,0830-0930,TR+9, Teaching Wk2-13
,Lab,SSR3,Thu,0830-1030,SWLAB2," Teaching Wk2,4,6,8,10,12"
 10498,Lec/Studio,CS2,Fri,1430-1530,ONLINE,
,Lec/Studio,CS2,Tue,1530-1630,ONLINE,
,Tut,SSR6,Tue,1030-1130,LHN-TR+32, Teaching Wk2-13
,Lab,SSR5,Wed,1030-1230,SWLAB1," Teaching Wk1,3,5,7,9,11,13"
