Index,Type,Group,Day,Time,Venue,Remark
 10217,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,DSAI1,Thu,1630-1730,TR+33, Teaching Wk2-13
,Lab,DSAI1,Tue,1430-1630,HWLAB1," Teaching Wk2,4,6,8,10,12"
 10218,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,DSAI2,Thu,1530-1630,TR+33, Teaching Wk2-13
,Lab,DSAI2,Tue,1430-1630,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10219,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SS1,Mon,1130-1230,TR+15, Teaching Wk2-13
,Lab,SS1,Mon,0830-1030,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10220,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SS2,Thu,1130-1230,TR+19, Teaching Wk2-13
,Lab,SS2,Mon,0830-1030,HWLAB1," Teaching Wk2,4,6,8,10,12"
 10221,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SS3,Wed,0930-1030,LHN-TR+17, Teaching Wk2-13
,Lab,SS3,Mon,1430-1630,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10222,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SS4,Mon,1530-1630,TR+15, Teaching Wk2-13
,Lab,SS4,Wed,1030-1230,HWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10223,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SS5,Wed,1030-1130,LHN-TR+17, Teaching Wk2-13
,Lab,SS5,Tue,1230-1430,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10224,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SS6,Wed,1430-1530,LHN-TR+17, Teaching Wk2-13
,Lab,SS6,Thu,1030-1230,HWLAB2," Teaching Wk2,4,6,8,10,12"
 10225,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SSA1,Fri,0930-1030,TR+16, Teaching Wk2-13
,Lab,SSA1,Thu,1030-1230,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10226,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SSP5,Thu,1130-1230,TR+15, Teaching Wk2-13
,Lab,SSP5,Tue,1230-1430,HWLAB1," Teaching Wk2,4,6,8,10,12"
 10227,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SSP6,Wed,0930-1030,TR+17, Teaching Wk2-13
,Lab,SSP6,Mon,1430-1630,HWLAB1," Teaching Wk2,4,6,8,10,12"
 10442,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SSP7,Mon,1130-1230,LHN-TR+13, Teaching Wk2-13
,Lab,SS1,Mon,0830-1030,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10443,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SSP7,Mon,1130-1230,LHN-TR+13, Teaching Wk2-13
,Lab,SS2,Mon,0830-1030,HWLAB1," Teaching Wk2,4,6,8,10,12"
 10444,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SSP7,Mon,1130-1230,LHN-TR+13, Teaching Wk2-13
,Lab,SS3,Mon,1430-1630,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10485,Lec/Studio,CS2,Fri,1530-1630,ONLINE,
,Lec/Studio,CS2,Tue,1630-1730,ONLINE,
,Tut,SSP7,Mon,1130-1230,LHN-TR+13, Teaching Wk2-13
,Lab,SSP5,Tue,1230-1430,HWLAB1," Teaching Wk2,4,6,8,10,12"
