Index,Type,Group,Day,Time,Venue,Remark
10198,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10198,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10198,Tut,DSAI1,1,1130 1230,TR+33,2 3 4 5 6 7 8 9 10 11 12 13
10198,Lab,DSAI1,1,0830 1030,SPL,1 3 5 7 9 11 13
10199,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10199,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10199,Tut,DSAI2,1,1330 1430,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10199,Lab,DSAI2,1,0830 1030,SPL,2 4 6 8 10 12
10200,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10200,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10200,Tut,SS10,1,0930 1030,LHN-TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10200,Lab,SS10,5,1230 1430,SPL,1 3 5 7 9 11 13
10201,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10201,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10201,Tut,SS11,4,1030 1130,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10201,Lab,SS11,4,1430 1630,SWLAB1,2 4 6 8 10 12
10202,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10202,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10202,Tut,SS2,3,1030 1130,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10202,Lab,SS2,4,1430 1630,SPL,2 4 6 8 10 12
10203,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10203,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10203,Tut,SS4,2,1030 1130,LHN-TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10203,Lab,SS4,3,1030 1230,SPL,2 4 6 8 10 12
10204,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10204,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10204,Tut,SS5,1,0930 1030,LHN-TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10204,Lab,SS5,1,1030 1230,SPL,1 3 5 7 9 11 13
10205,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10205,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10205,Tut,SS6,3,1530 1630,LHN-TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10205,Lab,SS6,1,1030 1230,SPL,2 4 6 8 10 12
10206,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10206,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10206,Tut,SS7,3,1630 1730,LHN-TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10206,Lab,SS7,3,0830 1030,SPL,1 3 5 7 9 11 13
10207,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10207,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10207,Tut,SS8,2,1430 1530,LHN-TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10207,Lab,SS8,3,0830 1030,SPL,2 4 6 8 10 12
10208,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10208,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10208,Tut,SS9,3,1030 1130,LHN-TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10208,Lab,SS9,4,1430 1630,SWLAB1,1 3 5 7 9 11 13
10209,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10209,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10209,Tut,SS12,3,1530 1630,LHN-TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10209,Lab,SS12,3,1030 1230,SPL,1 3 5 7 9 11 13
10480,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10480,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10480,Tut,SS13,3,1630 1730,TR+8,2 3 4 5 6 7 8 9 10 11 12 13
10480,Lab,SS13,3,0830 1030,SPL,1 3 5 7 9 11 13
10481,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10481,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10481,Tut,SS14,3,0830 0930,TR+7,2 3 4 5 6 7 8 9 10 11 12 13
10481,Lab,SS14,2,1230 1430,SPL,1 3 5 7 9 11 13
10486,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10486,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10486,Tut,SE3,2,1630 1730,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10486,Lab,SE3,1,1430 1630,SWLAB1,1 3 5 7 9 11 13
10493,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10493,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10493,Tut,SS2,3,1030 1130,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10493,Lab,SS10,5,1230 1430,SPL,1 3 5 7 9 11 13
13830,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
13830,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
13830,Tut,BCG2,5,1330 1430,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
13830,Lab,BCG2,2,1230 1430,SPL,2 4 6 8 10 12
13831,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
13831,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
13831,Tut,SS1,4,1030 1130,TR+18,2 3 4 5 6 7 8 9 10 11 12 13
13831,Lab,SS1,4,1430 1630,SPL,1 3 5 7 9 11 13
13832,Lec/Studio,CS2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
13832,Lec/Studio,CS2,5,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
13832,Tut,SS3,2,0830 0930,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
13832,Lab,SS3,5,1230 1430,SPL,2 4 6 8 10 12
