Index,Type,Group,Day,Time,Venue,Remark
10229,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10229,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10229,Tut,SS1,2,0830 0930,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10229,Lab,SS1,1,1030 1230,SWLAB1,2 4 6 8 10 12
10230,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10230,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10230,Tut,SS2,1,1030 1130,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10230,Lab,SS2,1,0830 1030,SWLAB1,1 3 5 7 9 11 13
10231,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10231,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10231,Tut,SS3,2,1330 1430,TR+19,2 3 4 5 6 7 8 9 10 11 12 13
10231,Lab,SS3,4,1430 1630,SWLAB3,1 3 5 7 9 11 13
10232,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10232,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10232,Tut,SS4,2,1430 1530,TR+19,2 3 4 5 6 7 8 9 10 11 12 13
10232,Lab,SS4,5,1230 1430,SWLAB1,2 4 6 8 10 12
10233,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10233,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10233,Tut,SS6,5,0830 0930,LHN-TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10233,Lab,SS6,5,1230 1430,SWLAB1,1 3 5 7 9 11 13
10234,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10234,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10234,Tut,SS7,1,1030 1130,TR+31,2 3 4 5 6 7 8 9 10 11 12 13
10234,Lab,SS7,4,1430 1630,SWLAB3,2 4 6 8 10 12
10235,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10235,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10235,Tut,SS8,1,1530 1630,TR+33,2 3 4 5 6 7 8 9 10 11 12 13
10235,Lab,SS8,5,1230 1430,SPL,2 4 6 8 10 12
10236,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10236,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10236,Tut,SS9,2,1330 1430,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10236,Lab,SS9,1,1430 1630,SWLAB3,2 4 6 8 10 12
10237,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10237,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10237,Tut,SSP1,1,1430 1530,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10237,Lab,SSP1,3,1030 1230,SPL,2 4 6 8 10 12
10238,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10238,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10238,Tut,SSP2,4,1430 1530,TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10238,Lab,SSP2,3,1030 1230,SPL,1 3 5 7 9 11 13
10239,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10239,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10239,Tut,SSP3,1,1630 1730,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10239,Lab,SSP3,2,1230 1430,SWLAB1,2 4 6 8 10 12
10240,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10240,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10240,Tut,SSP4,5,1330 1430,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10240,Lab,SSP4,2,1230 1430,SWLAB1,1 3 5 7 9 11 13
10241,Lec/Studio,CS2,4,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10241,Lec/Studio,CS2,4,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10241,Tut,SSP5,1,1130 1230,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10241,Lab,SSP5,1,1430 1630,SWLAB1,1 3 5 7 9 11 13
