Index,Type,Group,Day,Time,Venue,Remark
10217,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10217,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10217,Tut,DSAI1,4,1630 1730,TR+33,2 3 4 5 6 7 8 9 10 11 12 13
10217,Lab,DSAI1,2,1430 1630,HWLAB1,2 4 6 8 10 12
10218,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10218,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10218,Tut,DSAI2,4,1530 1630,TR+33,2 3 4 5 6 7 8 9 10 11 12 13
10218,Lab,DSAI2,2,1430 1630,HWLAB1,1 3 5 7 9 11 13
10219,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10219,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10219,Tut,SS1,1,1130 1230,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10219,Lab,SS1,1,0830 1030,HWLAB1,1 3 5 7 9 11 13
10220,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10220,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10220,Tut,SS2,4,1130 1230,TR+19,2 3 4 5 6 7 8 9 10 11 12 13
10220,Lab,SS2,1,0830 1030,HWLAB1,2 4 6 8 10 12
10221,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10221,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10221,Tut,SS3,3,0930 1030,LHN-TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10221,Lab,SS3,1,1430 1630,HWLAB1,1 3 5 7 9 11 13
10222,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10222,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10222,Tut,SS4,1,1530 1630,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10222,Lab,SS4,3,1030 1230,HWLAB3,1 3 5 7 9 11 13
10223,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10223,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10223,Tut,SS5,3,1030 1130,LHN-TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10223,Lab,SS5,2,1230 1430,HWLAB1,1 3 5 7 9 11 13
10224,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10224,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10224,Tut,SS6,3,1430 1530,LHN-TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10224,Lab,SS6,4,1030 1230,HWLAB2,2 4 6 8 10 12
10225,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10225,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10225,Tut,SSA1,5,0930 1030,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10225,Lab,SSA1,4,1030 1230,HWLAB1,1 3 5 7 9 11 13
10226,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10226,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10226,Tut,SSP5,4,1130 1230,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10226,Lab,SSP5,2,1230 1430,HWLAB1,2 4 6 8 10 12
10227,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10227,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10227,Tut,SSP6,3,0930 1030,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10227,Lab,SSP6,1,1430 1630,HWLAB1,2 4 6 8 10 12
10442,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10442,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10442,Tut,SSP7,1,1130 1230,LHN-TR+13,2 3 4 5 6 7 8 9 10 11 12 13
10442,Lab,SS1,1,0830 1030,HWLAB1,1 3 5 7 9 11 13
10443,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10443,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10443,Tut,SSP7,1,1130 1230,LHN-TR+13,2 3 4 5 6 7 8 9 10 11 12 13
10443,Lab,SS2,1,0830 1030,HWLAB1,2 4 6 8 10 12
10444,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10444,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10444,Tut,SSP7,1,1130 1230,LHN-TR+13,2 3 4 5 6 7 8 9 10 11 12 13
10444,Lab,SS3,1,1430 1630,HWLAB1,1 3 5 7 9 11 13
10485,Lec/Studio,CS2,5,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10485,Lec/Studio,CS2,2,1630 1730,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10485,Tut,SSP7,1,1130 1230,LHN-TR+13,2 3 4 5 6 7 8 9 10 11 12 13
10485,Lab,SSP5,2,1230 1430,HWLAB1,2 4 6 8 10 12
