Index,Type,Group,Day,Time,Venue,Remark
10263,Lec/Studio,CS3,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10263,Lec/Studio,CS3,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10263,Tut,SSA1,5,1530 1630,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10263,Lab,SSA1,3,1430 1630,HWLAB1,2 4 6 8 10 12
10264,Lec/Studio,CS3,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10264,Lec/Studio,CS3,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10264,Tut,SSA2,5,1030 1130,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10264,Lab,SSA2,3,1430 1630,HWLAB1,1 3 5 7 9 11 13
10265,Lec/Studio,CS3,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10265,Lec/Studio,CS3,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10265,Tut,SSR1,2,1330 1430,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10265,Lab,SSR1,4,1430 1630,HWLAB3,1 3 5 7 9 11 13
10266,Lec/Studio,CS3,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10266,Lec/Studio,CS3,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10266,Tut,SSR2,5,1630 1730,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10266,Lab,SSR2,4,1430 1630,HWLAB3,2 4 6 8 10 12
10267,Lec/Studio,CS3,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10267,Lec/Studio,CS3,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10267,Tut,SSA3,1,1230 1330,TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10267,Lab,SSR2,4,1430 1630,HWLAB3,2 4 6 8 10 12
10433,Lec/Studio,CS3,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10433,Lec/Studio,CS3,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10433,Tut,SSA3,1,1230 1330,TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10433,Lab,SSA1,3,1430 1630,HWLAB1,2 4 6 8 10 12
10434,Lec/Studio,CS3,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10434,Lec/Studio,CS3,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10434,Tut,SSA3,1,1230 1330,TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10434,Lab,SSA2,3,1430 1630,HWLAB1,1 3 5 7 9 11 13
13833,Lec/Studio,CS3,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
13833,Lec/Studio,CS3,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
13833,Tut,BCG3,2,0930 1030,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
13833,Lab,BCG3,5,1030 1230,HWLAB3,2 4 6 8 10 12
