Index,Type,Group,Day,Time,Venue,Remark
10182,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10182,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10182,Tut,DSAI1,3,1130 1230,TR+37,2 3 4 5 6 7 8 9 10 11 12 13
10182,Lab,DSAI1,4,1030 1230,HWLAB2,1 3 5 7 9 11 13
10183,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10183,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10183,Tut,DSAI2,3,1230 1330,TR+37,2 3 4 5 6 7 8 9 10 11 12 13
10183,Lab,DSAI2,4,1030 1230,HWLAB2,2 4 6 8 10 12
10184,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10184,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10184,Tut,SS1,3,0930 1030,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10184,Lab,SS1,4,1430 1630,HWLAB2,2 4 6 8 10 12
10185,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10185,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10185,Tut,SS2,5,1330 1430,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10185,Lab,SS2,4,1430 1630,HWLAB2,1 3 5 7 9 11 13
10186,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10186,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10186,Tut,SS3,2,1130 1230,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10186,Lab,SS3,1,1430 1630,HWLAB1,2 4 6 8 10 12
10187,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10187,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10187,Tut,SS4,2,1030 1130,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10187,Lab,SS4,1,1430 1630,HWLAB3,1 3 5 7 9 11 13
10188,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10188,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10188,Tut,SS5,3,1330 1430,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10188,Lab,SS5,4,1430 1630,HWLAB2,2 4 6 8 10 12
10189,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10189,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10189,Tut,SS6,3,1030 1130,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10189,Lab,SS6,1,1030 1230,HWLAB2,1 3 5 7 9 11 13
10191,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10191,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10191,Tut,SSP1,2,1330 1430,TR+37,2 3 4 5 6 7 8 9 10 11 12 13
10191,Lab,SSP1,1,1030 1230,HWLAB3,2 4 6 8 10 12
10192,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10192,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10192,Tut,SSP2,3,1230 1330,TR+33,2 3 4 5 6 7 8 9 10 11 12 13
10192,Lab,SSP2,1,1030 1230,HWLAB2,2 4 6 8 10 12
10193,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10193,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10193,Tut,SSP3,4,1230 1330,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10193,Lab,SSP3,3,1430 1630,HWLAB3,1 3 5 7 9 11 13
10194,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10194,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10194,Tut,SSP4,5,1330 1430,TR+20,2 3 4 5 6 7 8 9 10 11 12 13
10194,Lab,SSP4,2,1230 1430,HWLAB1,2 4 6 8 10 12
10195,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10195,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10195,Tut,SSP5,2,1430 1530,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10195,Lab,SSP5,3,1030 1230,HWLAB2,2 4 6 8 10 12
10196,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10196,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10196,Tut,SSP6,2,1130 1230,LHN-TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10196,Lab,SSP6,1,1430 1630,HWLAB1,1 3 5 7 9 11 13
10197,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10197,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10197,Tut,SSP7,2,1330 1430,TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10197,Lab,SSP7,1,1030 1230,HWLAB3,1 3 5 7 9 11 13
10404,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10404,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10404,Tut,SS7,5,1630 1730,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10404,Lab,SSP7,1,1030 1230,HWLAB3,1 3 5 7 9 11 13
10405,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10405,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10405,Tut,SS7,5,1630 1730,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10405,Lab,BCG2,2,1230 1430,HWLAB1,1 3 5 7 9 11 13
10440,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10440,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10440,Tut,SS7,5,1630 1730,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10440,Lab,SSP3,3,1430 1630,HWLAB3,1 3 5 7 9 11 13
10441,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10441,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10441,Tut,SS7,5,1630 1730,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10441,Lab,SSP1,1,1030 1230,HWLAB3,2 4 6 8 10 12
10487,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10487,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10487,Tut,SE1,2,1030 1130,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10487,Lab,SE1,1,1430 1630,HWLAB3,2 4 6 8 10 12
10488,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10488,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10488,Tut,SE2,1,0830 0930,LHN-TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10488,Lab,SE2,1,1430 1630,HWLAB2,1 3 5 7 9 11 13
10489,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10489,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10489,Tut,Sep-01,1,1630 1730,TR+31,2 3 4 5 6 7 8 9 10 11 12 13
10489,Lab,Sep-01,2,1030 1230,HWLAB2,2 4 6 8 10 12
10491,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10491,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10491,Tut,SS8,3,0930 1030,TR+3,2 3 4 5 6 7 8 9 10 11 12 13
10491,Lab,SS7,2,1230 1430,HWLAB3,2 4 6 8 10 12
10492,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10492,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10492,Tut,SE1,2,1030 1130,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10492,Lab,BCG2,2,1230 1430,HWLAB1,1 3 5 7 9 11 13
10494,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10494,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10494,Tut,SS1,3,0930 1030,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10494,Lab,BCG2,2,1230 1430,HWLAB1,1 3 5 7 9 11 13
13829,Lec/Studio,CS2,5,1030 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
13829,Lec/Studio,CS2,1,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
13829,Tut,BCG2,1,0930 1030,LHN-TR+13,2 3 4 5 6 7 8 9 10 11 12 13
13829,Lab,BCG2,2,1230 1430,HWLAB1,1 3 5 7 9 11 13
