Index,Type,Group,Day,Time,Venue,Remark
10210,Lec/Studio,CS2,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10210,Lec/Studio,CS2,2,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10210,Tut,SSR1,2,1430 1530,TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10210,Lab,SSR1,4,1030 1230,SWLAB2,2 4 6 8 10 12
10211,Lec/Studio,CS2,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10211,Lec/Studio,CS2,2,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10211,Tut,SSR2,1,0830 0930,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10211,Lab,SSR2,1,1430 1630,SWLAB3,1 3 5 7 9 11 13
10212,Lec/Studio,CS2,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10212,Lec/Studio,CS2,2,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10212,Tut,SSR3,5,0830 0930,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10212,Lab,SSR3,4,0830 1030,SWLAB2,2 4 6 8 10 12
10213,Lec/Studio,CS2,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10213,Lec/Studio,CS2,2,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10213,Tut,SSR4,3,1130 1230,LHN-TR+32,2 3 4 5 6 7 8 9 10 11 12 13
10213,Lab,SSR4,4,0830 1030,SWLAB2,1 3 5 7 9 11 13
10214,Lec/Studio,CS2,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10214,Lec/Studio,CS2,2,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10214,Tut,SSR5,3,0830 0930,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10214,Lab,SSR5,3,1030 1230,SWLAB1,1 3 5 7 9 11 13
10215,Lec/Studio,CS2,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10215,Lec/Studio,CS2,2,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10215,Tut,SSR6,2,1030 1130,LHN-TR+32,2 3 4 5 6 7 8 9 10 11 12 13
10215,Lab,SSR6,4,1030 1230,SWLAB2,1 3 5 7 9 11 13
10216,Lec/Studio,CS2,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10216,Lec/Studio,CS2,2,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10216,Tut,SSR7,2,1130 1230,LHN-TR+32,2 3 4 5 6 7 8 9 10 11 12 13
10216,Lab,SSR7,1,1430 1630,SWLAB3,2 4 6 8 10 12
10464,Lec/Studio,CS2,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10464,Lec/Studio,CS2,2,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10464,Tut,SSR8,3,0830 0930,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10464,Lab,SSR1,4,1030 1230,SWLAB2,2 4 6 8 10 12
10465,Lec/Studio,CS2,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10465,Lec/Studio,CS2,2,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10465,Tut,SSR8,3,0830 0930,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10465,Lab,SSR3,4,0830 1030,SWLAB2,2 4 6 8 10 12
10498,Lec/Studio,CS2,5,1430 1530,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10498,Lec/Studio,CS2,2,1530 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10498,Tut,SSR6,2,1030 1130,LHN-TR+32,2 3 4 5 6 7 8 9 10 11 12 13
10498,Lab,SSR5,3,1030 1230,SWLAB1,1 3 5 7 9 11 13
