Index,Type,Group,Day,Time,Venue,Remark
10250,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10250,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10250,Tut,SS1,1,1430 1530,TR+37,2 3 4 5 6 7 8 9 10 11 12 13
10250,Lab,SS1,2,1230 1430,SWLAB2,2 4 6 8 10 12
10251,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10251,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10251,Tut,SS2,3,0930 1030,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10251,Lab,SS2,2,1430 1630,SWLAB3,1 3 5 7 9 11 13
10252,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10252,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10252,Tut,SS3,4,0830 0930,TR+19,2 3 4 5 6 7 8 9 10 11 12 13
10252,Lab,SS3,5,1230 1430,SWLAB3,1 3 5 7 9 11 13
10253,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10253,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10253,Tut,SS4,1,1030 1130,TRX44,2 3 4 5 6 7 8 9 10 11 12 13
10253,Lab,SS4,1,1430 1630,SWLAB1,2 4 6 8 10 12
10254,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10254,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10254,Tut,SS5,1,1430 1530,TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10254,Lab,SS5,2,1230 1430,SWLAB2,1 3 5 7 9 11 13
10255,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10255,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10255,Tut,SS6,1,1130 1230,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10255,Lab,SS6,1,1430 1630,SWLAB3,1 3 5 7 9 11 13
10256,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10256,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10256,Tut,SSP1,2,1430 1530,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10256,Lab,SSP1,5,1230 1430,SWLAB2,2 4 6 8 10 12
10257,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10257,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10257,Tut,SSP2,5,1330 1430,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10257,Lab,SSP2,3,1430 1630,SWLAB3,1 3 5 7 9 11 13
10258,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10258,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10258,Tut,SSP3,2,0830 0930,TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10258,Lab,SSP3,3,1430 1630,SWLAB3,2 4 6 8 10 12
10259,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10259,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10259,Tut,SSP4,1,1030 1130,TR+19,2 3 4 5 6 7 8 9 10 11 12 13
10259,Lab,SSP4,3,1030 1230,SWLAB1,1 3 5 7 9 11 13
10260,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10260,Lec/Studio,CS2,1,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10260,Tut,SSP5,5,1330 1430,LHN-TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10260,Lab,SSP5,1,1430 1630,SWLAB3,2 4 6 8 10 12
10261,Lec/Studio,CS2,4,1230 1330,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
